,tweet_id,timestamp,source,rating_numerator,rating_denominator,name,cycles,retweet_count,fav_count,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,13,10,Phineas,None,6952,33608,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False
1,892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,13,10,Tilly,None,5255,29148,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True
2,891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,12,10,Archie,None,3461,21936,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
3,891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,13,10,Darla,None,7163,36665,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper_Towel,0.1702779999999999,False,Labrador_retriever,0.1680859999999999,True,spatula,0.0408359,False
4,891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,12,10,Franklin,None,7700,35061,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English_springer,0.2257699999999999,True,German_short-haired_pointer,0.175219,True
5,891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,13,10,None,None,2574,17694,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_Retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.0769021999999999,False
6,890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,13,10,Jax,None,1644,10294,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.341703,True,Border_collie,0.199287,True,ice_lolly,0.193548,False
7,890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,13,10,None,None,15653,56499,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo_dog,0.1784059999999999,True,Pembroke,0.0765069,True
8,890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,13,10,Zoey,None,3597,24368,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_Terrier,0.4875739999999999,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True
9,890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,14,10,Cassie,doggo,6050,27772,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
10,890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,13,10,Koda,None,6101,26882,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True
11,889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,13,10,Bruno,None,4128,24422,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_Bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False
12,889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,13,10,None,puppo,8281,41754,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True
13,889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,12,10,Ted,None,3690,23510,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_Bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True
14,889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,13,10,Stuart,puppo,1871,13275,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,Golden_Retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True
15,889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,13,10,Oliver,None,4409,21951,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,Whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True
16,888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,12,10,Jim,None,3733,25463,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,Golden_Retriever,0.714719,True,Tibetan_mastiff,0.1201839999999999,True,Labrador_retriever,0.1055059999999999,True
17,888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,13,10,Zeke,None,3505,22329,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,Golden_Retriever,0.46976,True,Labrador_retriever,0.184172,True,English_setter,0.0734817,True
18,888554962724278272,2017-07-22 00:23:06+00:00,Twitter for iPhone,13,10,Ralphus,None,2856,17215,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_Husky,0.700377,True,Eskimo_dog,0.166511,True,malamute,0.111411,True
19,888078434458587136,2017-07-20 16:49:33+00:00,Twitter for iPhone,12,10,Gerald,None,2877,19041,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French_Bulldog,0.995026,True,pug,0.000931908,True,bull_mastiff,0.000903211,True
20,887705289381826560,2017-07-19 16:06:48+00:00,Twitter for iPhone,13,10,Jeffrey,None,4509,26448,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,Basset,0.821664,True,redbone,0.0875815,True,Weimaraner,0.0262364,True
21,887517139158093824,2017-07-19 03:39:09+00:00,Twitter for iPhone,14,10,None,None,9788,40457,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1,Limousine,0.130432,False,tow_truck,0.0291754,False,shopping_cart,0.0263208,False
22,887473957103951883,2017-07-19 00:47:34+00:00,Twitter for iPhone,13,10,Canela,None,14924,59801,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,Pembroke,0.809197,True,Rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True
23,887343217045368832,2017-07-18 16:08:03+00:00,Twitter for iPhone,13,10,None,None,8759,29398,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,Mexican_Hairless,0.330741,True,sea_lion,0.275645,False,Weimaraner,0.134203,True
24,887101392804085760,2017-07-18 00:07:08+00:00,Twitter for iPhone,12,10,None,None,4961,26827,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,0.733942,True,Eskimo_dog,0.0350295,True,Staffordshire_bullterrier,0.0297047,True
25,886983233522544640,2017-07-17 16:17:36+00:00,Twitter for iPhone,13,10,Maya,None,6267,30160,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,Chihuahua,0.793469,True,toy_terrier,0.143528,True,can_opener,0.0322529,False
26,886736880519319552,2017-07-16 23:58:41+00:00,Twitter for iPhone,13,10,Mingus,None,2607,10437,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,Kuvasz,0.309706,True,Great_Pyrenees,0.186136,True,Dandie_Dinmont,0.0863463,True
27,886680336477933568,2017-07-16 20:14:00+00:00,Twitter for iPhone,13,10,Derek,None,3711,19603,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,1,Convertible,0.738995,False,sports_car,0.139952,False,car_wheel,0.0441726999999999,False
